model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert,0.2,0.8,0.0,0.6877000000000001
sbert,0.22,0.0,0.78,0.8916000000000001
sbert,0.22,0.02,0.76,0.8877
sbert,0.22,0.04,0.74,0.8827
sbert,0.22,0.06,0.72,0.877
sbert,0.22,0.08,0.7000000000000001,0.8709000000000001
sbert,0.22,0.1,0.68,0.8652000000000001
sbert,0.22,0.12,0.66,0.8592000000000001
sbert,0.22,0.14,0.64,0.8534
sbert,0.22,0.16,0.62,0.8474
sbert,0.22,0.18,0.6000000000000001,0.8411000000000002
sbert,0.22,0.2,0.5800000000000001,0.8339000000000001
sbert,0.22,0.22,0.56,0.8286
sbert,0.22,0.24,0.54,0.8239000000000001
sbert,0.22,0.26,0.52,0.8177000000000001
sbert,0.22,0.28,0.5,0.8128000000000001
sbert,0.22,0.3,0.48000000000000004,0.8068000000000001
sbert,0.22,0.32,0.46,0.802
sbert,0.22,0.34,0.44,0.7969
sbert,0.22,0.36,0.42000000000000004,0.7909
sbert,0.22,0.38,0.4,0.786
sbert,0.22,0.4,0.38,0.7805000000000001
sbert,0.22,0.42,0.36000000000000004,0.7763000000000001
sbert,0.22,0.44,0.34,0.7713000000000001
sbert,0.22,0.46,0.32,0.7671000000000001
sbert,0.22,0.48,0.30000000000000004,0.762
sbert,0.22,0.5,0.28,0.7566
sbert,0.22,0.52,0.26,0.7514000000000001
sbert,0.22,0.54,0.24,0.7462000000000001
sbert,0.22,0.56,0.21999999999999997,0.7417
sbert,0.22,0.58,0.20000000000000007,0.737
sbert,0.22,0.6,0.18000000000000005,0.7322000000000001
sbert,0.22,0.62,0.16000000000000003,0.7283000000000001
sbert,0.22,0.64,0.14,0.723
sbert,0.22,0.66,0.12,0.7188
sbert,0.22,0.68,0.09999999999999998,0.7138
sbert,0.22,0.7000000000000001,0.07999999999999996,0.7096
sbert,0.22,0.72,0.06000000000000005,0.7058
sbert,0.22,0.74,0.040000000000000036,0.7013999999999999
sbert,0.22,0.76,0.020000000000000018,0.6977000000000001
sbert,0.22,0.78,0.0,0.6891
